
2024/05/02 (08:57:24) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/02 (09:36:41) | ===> btop++ v.1.3.2
2024/05/02 (09:36:41) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/02 (09:36:41) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/02 (09:36:41) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/02 (09:36:41) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/02 (09:36:41) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/07 (08:42:03) | ===> btop++ v.1.3.2
2024/05/07 (08:42:03) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/07 (08:42:03) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/07 (08:42:03) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/07 (08:42:03) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/07 (08:42:03) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/07 (09:41:28) | ===> btop++ v.1.3.2
2024/05/07 (09:41:28) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/07 (09:41:28) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/07 (09:41:28) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/07 (09:41:28) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/07 (09:41:28) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/27 (07:26:12) | ===> btop++ v.1.3.2
2024/05/27 (07:26:12) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/27 (07:26:12) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/27 (07:26:12) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/27 (07:26:12) | WARNING: ROCm SMI: Failed to get GPU power usage
2024/05/27 (07:26:12) | WARNING: ROCm SMI: Failed to get PCIe throughput

2024/05/27 (18:36:58) | ===> btop++ v.1.3.2
2024/05/27 (18:36:58) | WARNING: ROCm SMI: Failed to get maximum GPU power draw, defaulting to 225W
2024/05/27 (18:36:58) | WARNING: ROCm SMI: Failed to get maximum GPU temperature, defaulting to 110°C
2024/05/27 (18:36:58) | WARNING: ROCm SMI: Failed to get VRAM utilization
2024/05/27 (18:36:58) | WARNING: ROCm SMI: Failed to get GPU power usage
